",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"97,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"98,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"99,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"100,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"101,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"102,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"103,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"104,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"105,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"106,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"107,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"108,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"109,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"110,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"111,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"112,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"113,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"114,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"115,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"116,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"117,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"118,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"119,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"120,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"121,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"122,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
